Entity,Type
"Pakistan Tobacco
Company",ORG
1949,DATE
first,ORDINAL
Bangladesh,GPE
East Pakistan,LOC
1949,DATE
Fauzdarhat,LANGUAGE
Chittagong,PERSON
1965,DATE
second,ORDINAL
Pakistan Tobacco Company,ORG
Mohakhali,GPE
Dhaka,GPE
Bangladesh Tobacco Company Limited,ORG
1972,DATE
Bangladesh,GPE
1998,DATE
Company,ORG
British American Tobacco Bangladesh,ORG
British American Tobacco Group,ORG
Bangladesh,GPE
BAT plc,ORG
200,CARDINAL
Pakistan Tobacco Company,ORG
Karachi,GPE
1949,DATE
British American Tobacco Group,ORG
65.91%,PERCENT
2,CARDINAL
Bangladesh,GPE
26.57%,PERCENT
7.52%,PERCENT
Dhaka,ORG
Chittagong,GPE
The Board of Directors,ORG
nine,CARDINAL
Non-Executive,ORG
four,CARDINAL
four,CARDINAL
"more than 11,000",CARDINAL
"60,000",CARDINAL
"approximately 45,000",CARDINAL
Bangladeshi,PERSON
Company,ORG
UK,GPE
Germany,GPE
Poland,GPE
Russia,GPE
"New
Zealand",GPE
British American Tobacco,ORG
first,ORDINAL
Dhaka,ORG
"Chittagong Stock
Exchanges",ORG
10,CARDINAL
British American Tobacco Group,ORG
72.91%,PERCENT
12.86%,PERCENT
Investment Corporation of Bangladesh,ORG
Shadharan Bima Corporation,ORG
"Bangladesh Development
Bank Limited, Government of People's Republic of Bangladesh",ORG
14.23%,PERCENT
approximately two-thirds,CARDINAL
2013-14,DATE
fiscal year,DATE
BAT Bangladesh,PERSON
"8,436",CARDINAL
the National Exchequer,ORG
2017,DATE
BAT Bangladesh,PERSON
the National Exchequer,ORG
BAT Bangladesh,FAC
3,CARDINAL
33,CARDINAL
"1,500",CARDINAL
"approximately 50,000",CARDINAL
over 1.3 million,CARDINAL
BAT Bangladesh,PERSON
one,CARDINAL
BAT Bangladesh,PERSON
British American Tobacco,ORG
British American Tobacco Bangladesh,ORG
British,NORP
American Tobacco Bangladesh,ORG
British American Tobacco Bangladesh,ORG
British American Tobacco Bangladesh,ORG
British American Tobacco,ORG
British American Tobacco Bangladesh,ORG
British American Tobacco Bangladesh,ORG
second,ORDINAL
British American Tobacco,ORG
Bangladesh,GPE
Tobacco,ORG
Next Generation Products,ORG
British American Tobacco Bangladesh,ORG
4,CARDINAL
Departmental,FAC
British American Tobacco,ORG
Chain of Command,ORG
British American Tobacco,ORG
5,CARDINAL
33,CARDINAL
02,CARDINAL
British American Tobacco Bangladesh,ORG
Intern,ORG
"Operations
Department",ORG
Problems,NORP
one,CARDINAL
two,CARDINAL
one,CARDINAL
one,CARDINAL
6,CARDINAL
2.1.3,CARDINAL
Scope and Delimitation of the Study,ORG
Scopes of Learning,WORK_OF_ART
Site Services,ORG
few days,DATE
1,CARDINAL
Bachelors of Business Studies,ORG
the Engineering Department,ORG
Operations,ORG
three months,DATE
Machineries and Civil Engineering,WORK_OF_ART
2,CARDINAL
Time Limitation: Engineering Department,ORG
that particular day,DATE
100%,PERCENT
7,CARDINAL
3,CARDINAL
info’s,PERSON
4,CARDINAL
the first day,DATE
5,CARDINAL
first,ORDINAL
6,CARDINAL
7,CARDINAL
8,CARDINAL
8,CARDINAL
9,CARDINAL
Google,ORG
10,CARDINAL
the very first week,DATE
the Eid days,DATE
2.1.4,CARDINAL
British American Tobacco Bangladesh,ORG
 Function of Operations Department,WORK_OF_ART
Organizational,ORG
9,CARDINAL
Project,ORG
2.2 Review of Related,ORG
one,CARDINAL
Primary,PERSON
Secondary Data,ORG
two,CARDINAL
annual,DATE
British American Tobacco Bangladesh,ORG
10,CARDINAL
"Analysis and Interpretation of the Data:
Division",ORG
Operations Department,ORG
Leaf Manufacturing EHS Procurement Quality,ORG
PED,ORG
11,CARDINAL
1,CARDINAL
2,CARDINAL
Finance,ORG
3,CARDINAL
12,CARDINAL
4,CARDINAL
third,ORDINAL
5,CARDINAL
BOQ,ORG
6,CARDINAL
LOI,ORG
7,CARDINAL
8,CARDINAL
9,CARDINAL
10,CARDINAL
Kick,PERSON
11,CARDINAL
Quality Trainings and Risk Assessment:,ORG
13,CARDINAL
12,CARDINAL
13,CARDINAL
14,CARDINAL
15,CARDINAL
16,CARDINAL
BAT,PERSON
17,CARDINAL
Post Implementation,ORG
14,CARDINAL
"Engineering and Site Services Team:
",WORK_OF_ART
15,CARDINAL
Project Management Process,ORG
16,CARDINAL
"Capital Expenditure
Co-Plan Categories",ORG
"Consultant
& Selection",ORG
Project Budgeting,PERSON
Project Timeline,ORG
Designing Change,ORG
Project,ORG
BOQ,ORG
Business Case,ORG
PO,ORG
Mapping and Management,ORG
"Project Supervision
Handover",ORG
1,CARDINAL
British American Tobacco Bangladesh,ORG
Zarif Bazme Hafeez,PERSON
first,ORDINAL
17,CARDINAL
first,ORDINAL
Auctus,ORG
Firstly,ORDINAL
Insignia,GPE
Finance,ORG
2,CARDINAL
British American Tobacco Bangladesh,ORG
Intern,ORG
4,CARDINAL
Reverie,PERSON
SUEZ,ORG
DAANA Engineering,ORG
3,CARDINAL
Civil Engineer,ORG
first,ORDINAL
18,CARDINAL
Meeting Assessme,PERSON
Report,PRODUCT
"Assessme
Vendors",ORG
4,CARDINAL
Virtuso,PERSON
British American Tobacco Bangladesh,ORG
Head Office,ORG
Kiva Han,PERSON
two,CARDINAL
the entire day,DATE
19,CARDINAL
Meeting Monitoring Updates,WORK_OF_ART
"Control
Chart",ORG
5,CARDINAL
Secondary Manufacturing Department,ORG
2nd June 2018,DATE
September 15th,DATE
every day,DATE
6,CARDINAL
Project Column,ORG
British American Tobacco Bangladesh,ORG
1965,DATE
day,DATE
PowerPoint,ORG
20,CARDINAL
7,CARDINAL
Civil Engineering,ORG
Gantt,PERSON
Gantt,PERSON
Vendor,ORG
Gantt,PERSON
8,CARDINAL
Environmental Health and Safety,ORG
ESS,ORG
every single month,DATE
next month,DATE
9,CARDINAL
Lynda Launching,PRODUCT
Lynda,ORG
LinkedIn,GPE
two days,DATE
10,CARDINAL
Project Revierie: Revierie,ORG
British,NORP
American Tobacco Bangladesh,ORG
EHS,ORG
21,CARDINAL
11,CARDINAL
example- Fleet,ORG
Purchase Order,PERSON
Vendor,ORG
1,CARDINAL
2,CARDINAL
EHS,ORG
3,CARDINAL
Project Engineer,ORG
the last three months,DATE
4,CARDINAL
every week,DATE
5,CARDINAL
6,CARDINAL
Capex,PRODUCT
22,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
23,CARDINAL
5,CARDINAL
only one,CARDINAL
6,CARDINAL
BAT,PERSON
2,CARDINAL
Gantt,PERSON
June 1st week,DATE
June,DATE
British American Tobacco Bangladesh,ORG
three months,DATE
Engineering and Site Services,ORG
three months,DATE
three month,DATE
British American Tobacco Bangladesh,ORG
Dhaka,ORG
British,NORP
American Tobacco,ORG
third,ORDINAL
British,NORP
American Tobacco Bangladesh,ORG
24,CARDINAL
British American Tobacco,ORG
Human Resource Management,ORG
1,CARDINAL
2,CARDINAL
25,CARDINAL
